Time: 0.0028746669999999953, Heading: 0.0, ActualHeading: -0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.003915624999999999, Heading: 0.0, ActualHeading: -0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.005639958999999997, Heading: 0.0, ActualHeading: -0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.006799917000000001, Heading: 0.0, ActualHeading: -0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.007807916999999996, Heading: 0.0, ActualHeading: -0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.008831084000000005, Heading: 0.0, ActualHeading: -0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.009862417999999998, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: NaN
Time: 0.011013043000000004, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.012978876000000007, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.017680543000000007, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.018690002, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.019733877, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.020740418999999996, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.021908544, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.022989461, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.024068043999999993, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.025026461000000003, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.026210336000000004, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.02721950300000001, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.03232425299999999, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.033207128, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.034262961999999994, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.035331337, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.036289461999999995, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.037104379, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.037880211999999996, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.03863912899999999, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
Time: 0.04056267099999999, Heading: 0.0, ActualHeading: 0.0, CurrentVelo: 0.0, VeloCommand: 0.0, DesiredVelo: 0.0, LateralVelo: 0.0
